Location,University,QS Rank,Program,Qualification
HK,The Chinese University of Hong Kong (CUHK),32,Mechanical and Automation Engineering,BEng
HK,The Chinese University of Hong Kong (CUHK),32,Computer Science and Engineering,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Information Engineering,BEng
HK,The Chinese University of Hong Kong (CUHK),32,Electronic Engineering,BEng
HK,The Chinese University of Hong Kong (CUHK),32,Pharmacy,BPharm
HK,The Chinese University of Hong Kong (CUHK),32,Nursing,BNurs
HK,The Chinese University of Hong Kong (CUHK),32,Public Health,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Science,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Pharmacy,BPharm
HK,The Chinese University of Hong Kong (CUHK),32,Psychology,BSSc
HK,The Chinese University of Hong Kong (CUHK),32,Enrichment Mathematics,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Mathematics and Mathematics Education,BSc & BEd
HK,The Chinese University of Hong Kong (CUHK),32,Science,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Fine Arts,BA
HK,The Chinese University of Hong Kong (CUHK),32,Artificial Intelligence: Systems and Technologies,BEng
HK,The Chinese University of Hong Kong (CUHK),32,Computer Science and Engineering,BEng
HK,The Chinese University of Hong Kong (CUHK),32,Information Engineering,BEng
HK,The Chinese University of Hong Kong (CUHK),32,Biomedical Sciences,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Nursing,BNurs
HK,The Chinese University of Hong Kong (CUHK),32,Pharmacy,MPharm
HK,The Chinese University of Hong Kong (CUHK),32,Integrated Bachelor of Business Administration,iBBA
HK,The Chinese University of Hong Kong (CUHK),32,Hospitality and Real Estate,
HK,The Chinese University of Hong Kong (CUHK),32,Professional Accountancy,BBA
HK,The Chinese University of Hong Kong (CUHK),32,Geography and Resource Management,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Urban Studies,BSSc
HK,The Chinese University of Hong Kong (CUHK),32,Integrated Bachelor of Business Administration,BBA
HK,The Chinese University of Hong Kong (CUHK),32,Financial Technology,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Risk Management Science,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Nursing,BNurs
HK,The Chinese University of Hong Kong (CUHK),32,English Studies (B.A.) and English Language Education (B.Ed.),BA & BEd
HK,The Chinese University of Hong Kong (CUHK),32,Early Childhood Education,BEd
HK,The Chinese University of Hong Kong (CUHK),32,Biomedical Engineering,BEng
HK,The Chinese University of Hong Kong (CUHK),32,Biomedical Sciences,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Mechanical and Automation Engineering,BEng
HK,The Chinese University of Hong Kong (CUHK),32,Nursing,BNurs
HK,The Chinese University of Hong Kong (CUHK),32,Social Work,BSSc
HK,The Chinese University of Hong Kong (CUHK),32,Chinese Medicine,BChMed
HK,The Chinese University of Hong Kong (CUHK),32,English,BA
HK,The Chinese University of Hong Kong (CUHK),32,English Studies (B.A.) and English Language Education (B.Ed.),BA & BEd
HK,The Chinese University of Hong Kong (CUHK),32,Global Communication,BA
HK,The Chinese University of Hong Kong (CUHK),32,Nursing,BNurs
HK,The Chinese University of Hong Kong (CUHK),32,Science,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Pharmacy,BPharm
HK,The Chinese University of Hong Kong (CUHK),32,Nursing,BNurs
HK,The Chinese University of Hong Kong (CUHK),32,Science,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Social Science,BSSc
HK,The Chinese University of Hong Kong (CUHK),32,Pharmacy,MPharm
HK,The Chinese University of Hong Kong (CUHK),32,Law,LLB
HK,The Chinese University of Hong Kong (CUHK),32,Integrated Bachelor of Business Administration,IBBA
HK,The Chinese University of Hong Kong (CUHK),32,Journalism and Communication,BA
HK,The Chinese University of Hong Kong (CUHK),32,Social Science,BSSc
HK,The Chinese University of Hong Kong (CUHK),32,Biomedical Sciences,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Biotechnology, Entrepreneurship and Healthcare Management,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Science,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Mechanical and Automation Engineering,BEng
HK,The Chinese University of Hong Kong (CUHK),32,Materials Science and Engineering,BEng
HK,The Chinese University of Hong Kong (CUHK),32,Biomedical Engineering,BEng
HK,The Chinese University of Hong Kong (CUHK),32,Medicine,MBChB
HK,The Chinese University of Hong Kong (CUHK),32,Biomedical Sciences,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Pharmacy,BPharm
HK,The Chinese University of Hong Kong (CUHK),32,Quantitative Finance and Risk Management Science,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Mathematics and Information Engineering,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Enrichment Stream in Theoretical Physics,MSci
HK,The Chinese University of Hong Kong (CUHK),32,Psychology,BSSc
HK,The Chinese University of Hong Kong (CUHK),32,Global Business Studies,GBus
HK,The Chinese University of Hong Kong (CUHK),32,Integrated Bachelor of Business Administration,IBBA
HK,The Chinese University of Hong Kong (CUHK),32,Global Economics and Finance,BSc
HK,The Chinese University of Hong Kong (CUHK),32,Bachelor of Laws,LLB
